Permutation,Weighted RMSE,Unweighted RMSE
power_B_Biofilm_Roughness_2,0.0,0.0
power_B_Biofilm_Roughness_3,0.0,0.0
power_B_Biofilm_SubstratumCoverage_2,0.0,0.0
power_B_Biofilm_SubstratumCoverage_3,0.0,0.0
power_B_Biofilm_Volume_2,0.0,0.0
power_B_Biofilm_Volume_3,0.0,0.0
power_P_Biofilm_Height_2,0.0,0.0
power_P_Biofilm_Height_3,0.0,0.0
power_P_Biofilm_SubstratumCoverage_2,0.0,0.0
power_P_Biofilm_SubstratumCoverage_3,0.0,0.0
power_P_Biofilm_Volume_2,0.0,0.0
power_P_Biofilm_Volume_3,0.0,0.0
prod_B_Biofilm_Height_B_Biofilm_Roughness,0.0,0.0
prod_B_Biofilm_Height_B_Biofilm_SubstratumCoverage,0.0,0.0
prod_B_Biofilm_Height_B_Biofilm_Volume,0.0,0.0
prod_B_Biofilm_Height_I,0.0,0.0
prod_B_Biofilm_Height_II,0.0,0.0
prod_B_Biofilm_Height_III,0.0,0.0
prod_B_Biofilm_Height_P_Biofilm_Height,0.0,0.0
prod_B_Biofilm_Height_P_Biofilm_SubstratumCoverage,0.0,0.0
prod_B_Biofilm_Height_P_Biofilm_Volume,0.0,0.0
prod_B_Biofilm_Roughness_B_Biofilm_SubstratumCoverage,0.0,0.0
prod_B_Biofilm_Roughness_B_Biofilm_Volume,0.0,0.0
prod_B_Biofilm_Roughness_I,0.0,0.0
prod_B_Biofilm_Roughness_II,0.0,0.0
prod_B_Biofilm_Roughness_III,0.0,0.0
prod_B_Biofilm_Roughness_P_Biofilm_Height,0.0,0.0
prod_B_Biofilm_Roughness_P_Biofilm_SubstratumCoverage,0.0,0.0
prod_B_Biofilm_Roughness_P_Biofilm_Volume,0.0,0.0
prod_B_Biofilm_SubstratumCoverage_B_Biofilm_Volume,0.0,0.0
prod_B_Biofilm_SubstratumCoverage_I,0.0,0.0
prod_B_Biofilm_SubstratumCoverage_II,0.0,0.0
prod_B_Biofilm_SubstratumCoverage_III,0.0,0.0
prod_B_Biofilm_SubstratumCoverage_P_Biofilm_Height,0.0,0.0
prod_B_Biofilm_SubstratumCoverage_P_Biofilm_SubstratumCoverage,0.0,0.0
prod_B_Biofilm_SubstratumCoverage_P_Biofilm_Volume,0.0,0.0
prod_B_Biofilm_Volume_I,0.0,0.0
prod_B_Biofilm_Volume_II,0.0,0.0
prod_B_Biofilm_Volume_III,0.0,0.0
prod_B_Biofilm_Volume_P_Biofilm_Height,0.0,0.0
prod_B_Biofilm_Volume_P_Biofilm_SubstratumCoverage,0.0,0.0
prod_B_Biofilm_Volume_P_Biofilm_Volume,0.0,0.0
prod_II_III,0.0,0.0
prod_I_II,0.0,0.0
prod_I_III,0.0,0.0
prod_P_Biofilm_Height_I,0.0,0.0
prod_P_Biofilm_Height_II,0.0,0.0
prod_P_Biofilm_Height_III,0.0,0.0
prod_P_Biofilm_Height_P_Biofilm_SubstratumCoverage,0.0,0.0
prod_P_Biofilm_Height_P_Biofilm_Volume,0.0,0.0
prod_P_Biofilm_SubstratumCoverage_I,0.0,0.0
prod_P_Biofilm_SubstratumCoverage_II,0.0,0.0
prod_P_Biofilm_SubstratumCoverage_III,0.0,0.0
prod_P_Biofilm_Volume_I,0.0,0.0
prod_P_Biofilm_Volume_II,0.0,0.0
prod_P_Biofilm_Volume_III,0.0,0.0
prod_P_Biofilm_Volume_P_Biofilm_SubstratumCoverage,0.0,0.0
